Row Labels,Sum of Confirmed,Column1,,,,,,,,,,,,
Afghanistan,36263,,,,,,,,,,,,,
Afghanistan Average,36263,,,,,,,,,,,,,
Albania,4880,,,,,,,,,,,,,
Albania Average,4880,,,,,,,,,,,,,
Algeria,27973,,,,,,,,,,,,,
Algeria Average,27973,,,,,,,,,,,,,
Andorra,907,,,,,,,,,,,,,
Andorra Average,907,,,,,,,,,,,,,
Angola,950,,,,,,,,,,,,,
Angola Average,950,,,,,,,,,,,,,
Antigua and Barbuda,86,,,,,,,,,,,,,
Antigua and Barbuda Average,86,,,,,,,,,,,,,
Argentina,167416,,,,,,,,,,,,,Column1
Argentina Average,167416,,,,,,,,,,,,,
Armenia,37390,,,,,,,,,,,,,
Armenia Average,37390,,,,,,,,,,,,,
Australia,15303,,,,,,,,,,,,,
Australia Average,15303,,,,,,,,,,,,,
Austria,20558,,,,,,,,,,,,,
Austria Average,20558,,,,,,,,,,,,,
Azerbaijan,30446,,,,,,,,,,,,,
Azerbaijan Average,30446,,,,,,,,,,,,,
Bahamas,382,,,,,,,,,,,,,
Bahamas Average,382,,,,,,,,,,,,,
Bahrain,39482,,,,,,,,,,,,,
Bahrain Average,39482,,,,,,,,,,,,,
Bangladesh,226225,,,,,,,,,,,,,
Bangladesh Average,226225,,,,,,,,,,,,,
Barbados,110,,,,,,,,,,,,,
Barbados Average,110,,,,,,,,,,,,,
Belarus,67251,,,,,,,,,,,,,
Belarus Average,67251,,,,,,,,,,,,,
Belgium,66428,,,,,,,,,,,,,
Belgium Average,66428,,,,,,,,,,,,,
Belize,48,,,,,,,,,,,,,
Belize Average,48,,,,,,,,,,,,,
Benin,1770,,,,,,,,,,,,,
Benin Average,1770,,,,,,,,,,,,,
Bhutan,99,,,,,,,,,,,,,
Bhutan Average,99,,,,,,,,,,,,,
Bolivia,71181,,,,,,,,,,,,,
Bolivia Average,71181,,,,,,,,,,,,,
Bosnia and Herzegovina,10498,,,,,,,,,,,,,
Bosnia and Herzegovina Average,10498,,,,,,,,,,,,,
Botswana,739,,,,,,,,,,,,,
Botswana Average,739,,,,,,,,,,,,,
Brazil,2442375,,,,,,,,,,,,,
Brazil Average,2442375,,,,,,,,,,,,,
Brunei,141,,,,,,,,,,,,,
Brunei Average,141,,,,,,,,,,,,,
